wavelength,A,D65,VM,Vprime,CIE1931x,CIE1931y,CIE1931z,CIE1964x,CIE1964y,CIE1964z,C,D50,D55,D75,Dark Skin,Light Skin,Blue Sky,Foliage,Blue Flower,Bluish Green,Orange,Purplish Blue,Moderate Red,Purple,Yellow Green,Orange Yellow,Blue,Green,Red,Yellow,Magent,Cyan,White,Neutral 8,Neutral 6.5,Neutral 5,Neutral 3.5,Black
690,191.931,69.7213,0.00821,0.00003533,0.0227,0.00821,0,0.0199413,0.0077488,0,80.20,87.381,79.677,63.852,0.261,0.682,0.104,0.174,0.511,0.244,0.622,0.115,0.605,0.282,0.368,0.69,0.045,0.082,0.724,0.787,0.798,0.074,0.888,0.57,0.343,0.194,0.087,0.032
695,195.118,70.6652,0.005723,0.00002501,0.01584,0.005723,0,0.013842,0.0053751,0,78.24,89.492,81.258,64.464,0.271,0.697,0.103,0.21,0.517,0.249,0.625,0.115,0.606,0.301,0.375,0.693,0.046,0.085,0.727,0.789,0.801,0.073,0.888,0.569,0.342,0.193,0.087,0.032
700,198.261,71.6091,0.004102,0.0000178,0.01135916,0.004102,0,0.00957688,0.00371774,0,76.30,91.604,82.840,65.076,0.282,0.713,0.103,0.247,0.52,0.252,0.628,0.116,0.606,0.319,0.379,0.696,0.048,0.088,0.729,0.792,0.804,0.072,0.888,0.568,0.341,0.192,0.086,0.032
705,201.359,72.979,0.002929,0.00001273,0.008110916,0.002929,0,0.0066052,0.00256456,0,74.36,92.246,83.842,66.573,0.294,0.728,0.102,0.283,0.522,0.252,0.63,0.118,0.604,0.338,0.381,0.698,0.05,0.089,0.73,0.792,0.806,0.072,0.887,0.567,0.34,0.192,0.086,0.032
710,204.409,74.349,0.002091,0.00000914,0.005790346,0.002091,0,0.00455263,0.00176847,0,72.40,92.889,84.844,68.070,0.305,0.745,0.102,0.311,0.523,0.25,0.633,0.12,0.602,0.355,0.379,0.698,0.051,0.089,0.73,0.793,0.807,0.071,0.886,0.566,0.339,0.191,0.086,0.032
715,207.411,67.9765,0.001484,0.0000066,0.004109457,0.001484,0,0.0031447,0.00122239,0,70.40,84.872,77.539,62.256,0.318,0.753,0.102,0.329,0.522,0.248,0.633,0.124,0.601,0.371,0.376,0.698,0.053,0.09,0.729,0.792,0.807,0.073,0.886,0.565,0.338,0.191,0.086,0.032
720,210.365,61.604,0.001047,0.00000478,0.002899327,0.001047,0,0.00217496,0.00084619,0,68.30,76.854,70.235,56.443,0.334,0.762,0.102,0.343,0.521,0.244,0.633,0.128,0.599,0.388,0.373,0.698,0.056,0.09,0.727,0.79,0.807,0.075,0.886,0.564,0.337,0.19,0.085,0.032
725,213.268,65.7448,0.00074,0.000003482,0.00204919,0.00074,0,0.0015057,0.00058644,0,66.30,81.683,74.768,60.343,0.354,0.774,0.102,0.353,0.521,0.245,0.636,0.133,0.598,0.406,0.372,0.7,0.06,0.09,0.728,0.792,0.81,0.078,0.885,0.562,0.336,0.189,0.085,0.032
730,216.12,69.8856,0.00052,0.000002546,0.001439971,0.00052,0,0.00104476,0.00040741,0,64.40,86.511,79.301,64.242,0.372,0.783,0.102,0.358,0.522,0.245,0.637,0.139,0.596,0.422,0.375,0.701,0.064,0.089,0.729,0.792,0.813,0.082,0.885,0.562,0.335,0.189,0.085,0.032
735,218.92,72.4863,0.0003611,0.00000187,0.0009999493,0.0003611,0,0.00072745,0.000284041,0,62.80,89.546,82.147,66.697,0.392,0.788,0.104,0.362,0.521,0.251,0.639,0.149,0.595,0.436,0.382,0.701,0.07,0.092,0.729,0.79,0.814,0.09,0.885,0.56,0.334,0.188,0.085,0.032
740,221.667,75.087,0.0002492,0.000001379,0.0006900786,0.0002492,0,0.000508258,0.00019873,0,61.50,92.580,84.993,69.151,0.409,0.791,0.104,0.364,0.521,0.26,0.638,0.162,0.593,0.451,0.392,0.701,0.079,0.094,0.727,0.787,0.813,0.1,0.884,0.56,0.333,0.188,0.085,0.032
745,224.361,69.3398,0.0001719,0.000001022,0.0004760213,0.0001719,0,0.00035638,0.00013955,0,60.20,85.405,78.437,63.890,0.42,0.787,0.104,0.36,0.516,0.269,0.633,0.178,0.587,0.46,0.401,0.695,0.091,0.097,0.723,0.782,0.81,0.116,0.884,0.558,0.332,0.187,0.084,0.032
750,227,63.5927,0.00012,0.00000076,0.0003323011,0.00012,0,0.000250969,0.000098428,0,59.20,78.230,71.880,58.629,0.436,0.789,0.104,0.362,0.514,0.278,0.633,0.197,0.584,0.471,0.412,0.694,0.104,0.102,0.721,0.778,0.808,0.133,0.883,0.557,0.331,0.187,0.084,0.032
755,229.585,55.0054,0.0000848,0.000000567,0.0002348261,0.0000848,0,0.00017773,0.000069819,0,58.50,67.961,62.337,50.623,0.45,0.794,0.106,0.364,0.514,0.288,0.636,0.219,0.584,0.481,0.422,0.696,0.12,0.106,0.724,0.78,0.811,0.154,0.882,0.556,0.33,0.186,0.084,0.032
760,232.115,46.4182,0.00006,0.000000425,0.0001661505,0.00006,0,0.00012639,0.000049737,0,58.10,57.692,52.793,42.617,0.462,0.801,0.106,0.368,0.517,0.297,0.641,0.242,0.586,0.492,0.433,0.7,0.138,0.11,0.728,0.782,0.814,0.176,0.882,0.555,0.329,0.185,0.084,0.032
765,234.589,56.6118,0.0000424,3.196E-007,0.000117413,0.0000424,0,0.000090151,3.55405E-005,0,58.00,70.307,64.360,51.985,0.465,0.799,0.107,0.368,0.515,0.301,0.639,0.259,0.584,0.495,0.436,0.698,0.154,0.111,0.727,0.781,0.813,0.191,0.881,0.554,0.328,0.185,0.084,0.032
770,237.008,66.8054,0.00003,2.413E-007,8.307527E-005,0.00003,0,6.45258E-005,0.000025486,0,58.20,82.923,75.927,61.352,0.448,0.771,0.11,0.355,0.5,0.297,0.616,0.275,0.566,0.482,0.426,0.673,0.168,0.112,0.702,0.752,0.785,0.2,0.88,0.553,0.327,0.184,0.083,0.032
775,239.37,65.0941,0.0000212,1.829E-007,5.870652E-005,0.0000212,0,0.000046339,1.83384E-005,0,58.50,80.599,73.872,59.838,0.432,0.747,0.115,0.346,0.491,0.296,0.598,0.294,0.551,0.471,0.413,0.653,0.186,0.112,0.68,0.728,0.765,0.208,0.88,0.551,0.326,0.184,0.083,0.032
780,241.675,63.3828,0.00001499,0.000000139,4.150994E-005,0.00001499,0,3.34117E-005,0.000013249,0,59.10,78.274,71.818,58.324,0.421,0.734,0.12,0.341,0.487,0.296,0.582,0.316,0.54,0.467,0.404,0.639,0.204,0.112,0.664,0.71,0.752,0.214,0.879,0.55,0.325,0.183,0.083,0.032
785,243.924,63.8434,0,0,2.935326E-005,0.0000106,0,0.000024209,9.6196E-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,246.116,64.304,0,0,2.067383E-005,7.4657E-006,0,1.76115E-005,7.0128E-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,248.251,61.8779,0,0,1.455977E-005,5.2578E-006,0,0.000012855,5.1298E-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,250.329,59.4519,0,0,0.000010254,3.7029E-006,0,9.41363E-006,3.76473E-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805,252.35,55.7054,0,0,7.221456E-006,2.6078E-006,0,0.000006913,2.77081E-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,254.314,51.959,0,0,5.085868E-006,1.8366E-006,0,5.09347E-006,2.04613E-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815,256.221,54.6998,0,0,3.581652E-006,1.2934E-006,0,3.7671E-006,1.51677E-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,258.071,57.4406,0,0,2.522525E-006,9.1093E-007,0,2.79531E-006,1.12809E-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,259.865,58.8765,0,0,1.776509E-006,6.4153E-007,0,0.000002082,8.4216E-007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,261.602,60.3125,0,0,1.251141E-006,4.5181E-007,0,1.55314E-006,6.297E-007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
